PolicyID,Period,EarnedExposure,Territory,AgeBand,VehicleClass,Violations,CreditTier,AnnualMileage,GaragingDensity,ViolationsNum,PriorLapses
201056,2023Q4,0.538,T5,40-64,Pickup,Major,B,11847,3.338,3,0
201057,2023Q3,1.201,T5,65+,Compact,Minor,D,9814,3.23,1,1
201058,2023Q3,1.259,T4,65+,Midsize,Minor,A,10295,4.437,1,1
201059,2023Q3,1.095,T4,40-64,SUV,None,C,16663,3.332,0,0
201060,2024Q1,0.926,T4,<25,Midsize,None,C,13083,1.934,0,0
201061,2024Q1,0.696,T4,65+,SUV,None,C,14836,1.279,0,0
201062,2023Q1,0.694,T5,25-39,SUV,Minor,D,11136,3.947,1,0
201063,2024Q1,1.171,T4,<25,Midsize,None,B,6648,0.406,0,0
201064,2023Q3,0.986,T5,65+,Midsize,None,B,6069,1.5,0,2
201065,2023Q1,1.152,T3,25-39,Midsize,None,D,5489,3.212,0,0
201066,2024Q1,1.418,T3,40-64,Compact,Minor,D,12160,0.641,1,1
201067,2023Q2,1.137,T5,65+,SUV,Major,C,11411,4.91,3,0
201068,2023Q3,0.565,T4,40-64,Midsize,Minor,C,16726,3.288,1,0
201069,2023Q2,1.168,T1,25-39,Midsize,None,B,16173,4.851,0,0
201070,2023Q4,0.52,T1,<25,Midsize,None,A,4711,0.827,0,1
201071,2023Q2,1.454,T4,40-64,Compact,None,B,4654,0.632,0,0
201072,2023Q3,0.764,T4,<25,SUV,None,A,8872,4.112,0,1
201073,2024Q1,1.04,T5,25-39,Compact,None,C,9455,4.662,0,0
201074,2023Q3,1.105,T1,40-64,Midsize,Minor,D,12585,3.227,1,0
201075,2023Q1,0.717,T5,25-39,Compact,None,A,8829,3.588,0,0
201076,2023Q1,0.634,T1,25-39,Compact,None,B,8018,2.093,0,0
201077,2023Q4,1.306,T3,65+,SUV,None,B,13672,2.171,0,0
201078,2023Q4,1.192,T3,25-39,Compact,None,D,9547,2.027,0,1
201079,2023Q3,1.112,T2,25-39,Compact,None,B,8208,1.008,0,0
201080,2023Q2,0.672,T3,<25,Midsize,Minor,B,10784,2.337,1,0
201081,2023Q2,1.256,T1,65+,Midsize,Minor,C,12738,2.679,1,0
201082,2023Q2,1.147,T3,25-39,Midsize,None,A,12412,4.749,0,0
201083,2023Q2,1.082,T4,65+,Compact,None,A,16599,1.015,0,0
201084,2024Q1,0.957,T2,<25,SUV,None,B,11599,1.3,0,0
201085,2023Q4,0.664,T3,40-64,Pickup,None,B,11867,3.716,0,0
201086,2023Q2,0.689,T3,65+,Pickup,Minor,B,11818,1.003,1,0
201087,2023Q1,1.328,T3,25-39,Pickup,Minor,C,15417,3.804,1,0
201088,2023Q1,0.721,T4,40-64,Compact,Major,A,13524,1.279,3,0
201089,2023Q3,1.409,T1,<25,Midsize,Minor,D,10373,3.094,1,0
201090,2023Q3,0.653,T5,<25,Midsize,None,C,10157,1.869,0,0
201091,2023Q4,1.167,T1,<25,SUV,None,D,13389,2.474,0,0
201092,2023Q1,0.911,T2,40-64,Compact,Minor,D,9312,0.973,1,0
201093,2023Q2,1.125,T4,25-39,SUV,None,A,5315,1.331,0,0
201094,2024Q1,0.544,T1,40-64,Pickup,None,D,14358,4.996,0,0
201095,2023Q3,0.856,T1,25-39,Midsize,None,D,13445,4.078,0,1
201096,2024Q1,0.691,T1,25-39,SUV,None,D,14263,4.875,0,0
201097,2023Q3,0.617,T4,65+,Compact,Minor,D,10761,2.847,1,0
201098,2024Q1,0.529,T3,25-39,Compact,None,C,6863,0.483,0,0
201099,2024Q1,0.54,T3,40-64,Midsize,Minor,A,12294,4.803,1,0
201100,2023Q3,1.203,T4,<25,Midsize,None,B,6674,1.648,0,0
201101,2023Q3,0.997,T3,25-39,Pickup,None,B,8067,4.866,0,0
201102,2023Q4,0.819,T3,<25,Pickup,Minor,A,10962,1.362,1,0
201103,2023Q2,0.588,T2,25-39,Pickup,None,D,14661,4.36,0,0
201104,2023Q2,0.674,T1,65+,SUV,None,C,10423,0.928,0,1
201105,2024Q1,0.771,T4,40-64,Pickup,None,B,13505,3.776,0,2
201106,2023Q4,0.987,T3,65+,Midsize,Major,B,9716,4.329,3,0
201107,2023Q3,1.437,T2,40-64,SUV,None,C,15622,2.054,0,1
201108,2023Q3,0.84,T3,25-39,SUV,None,A,11449,4.296,0,0
201109,2024Q1,0.857,T3,65+,Midsize,None,B,5146,2.96,0,1
201110,2023Q4,1.214,T2,65+,Pickup,None,C,14384,2.31,0,0
201111,2024Q1,0.985,T1,40-64,Compact,Major,C,12936,0.57,3,0
201112,2023Q2,0.782,T2,65+,Midsize,None,C,12123,0.891,0,0
201113,2023Q3,0.656,T1,40-64,Compact,None,B,13160,3.462,0,0
201114,2023Q4,0.539,T2,65+,Midsize,Minor,C,9319,1.616,1,0
201115,2023Q3,0.721,T4,40-64,Midsize,None,C,9898,1.891,0,0
201116,2024Q1,1.422,T2,25-39,Compact,None,A,12951,2.558,0,0
201117,2023Q4,1.494,T5,65+,SUV,None,D,10921,0.659,0,0
201118,2023Q2,1.304,T1,40-64,Compact,None,D,9003,3.296,0,0
201119,2023Q4,0.962,T5,65+,Compact,None,D,9080,1.992,0,0
201120,2024Q1,1.214,T1,<25,SUV,None,A,17379,1.208,0,0
201121,2023Q3,1.323,T2,65+,Midsize,Major,A,11198,1.35,3,1
201122,2024Q1,0.859,T1,40-64,Pickup,None,C,10364,4.603,0,0
201123,2023Q4,0.678,T1,25-39,Compact,None,B,14789,4.439,0,0
201124,2023Q4,0.662,T2,25-39,Compact,Minor,A,7217,0.887,1,2
201125,2024Q1,1.074,T2,25-39,Pickup,None,A,8027,0.684,0,1
201126,2023Q2,0.562,T4,40-64,Pickup,None,D,7230,1.529,0,0
201127,2023Q2,1.494,T3,25-39,SUV,Major,B,11791,3.323,3,0
201128,2023Q1,0.947,T4,65+,Midsize,None,A,11623,2.572,0,0
201129,2023Q1,0.729,T2,25-39,Pickup,None,B,12046,2.643,0,1
201130,2023Q3,1.018,T1,40-64,Pickup,None,C,7446,0.626,0,1
201131,2023Q3,0.749,T4,<25,SUV,None,D,9417,2.984,0,0
201132,2023Q3,1.117,T4,65+,SUV,Minor,C,13767,4.065,1,0
201133,2023Q3,1.321,T1,25-39,Compact,None,D,9467,3.485,0,0
201134,2023Q1,0.923,T2,65+,Compact,None,D,11910,4.664,0,0
201135,2023Q2,1.237,T2,40-64,Pickup,None,A,12662,0.505,0,0
201136,2023Q3,1.092,T2,25-39,Pickup,Major,A,5891,2.454,3,0
201137,2023Q1,0.669,T4,65+,SUV,None,D,10694,3.583,0,0
201138,2023Q2,0.714,T3,65+,Midsize,None,D,7273,0.604,0,0
201139,2023Q2,1.045,T2,<25,SUV,None,B,11265,4.327,0,0
201140,2023Q2,1.349,T4,65+,Midsize,None,B,12894,3.991,0,0
201141,2023Q1,0.944,T3,<25,SUV,Major,B,11995,0.513,3,0
201142,2023Q1,1.126,T5,65+,Midsize,None,C,9802,0.638,0,0
201143,2024Q1,1.259,T2,65+,Pickup,None,B,12860,3.487,0,2
201144,2024Q1,1.298,T3,25-39,Compact,Minor,B,10550,4.921,1,0
201145,2023Q1,1.148,T4,40-64,Compact,None,D,15177,4.949,0,0
201146,2023Q3,1.282,T3,65+,Pickup,None,C,7758,1.953,0,1
201147,2023Q2,1.105,T1,<25,SUV,Minor,B,16390,3.022,1,0
201148,2024Q1,1.424,T2,25-39,Pickup,None,D,7579,3.449,0,1
201149,2024Q1,0.842,T4,40-64,Compact,None,C,6734,3.557,0,0
201150,2023Q2,1.336,T5,40-64,SUV,None,B,11960,3.501,0,1
201151,2024Q1,1.148,T4,65+,Pickup,None,D,12195,1.672,0,0
201152,2023Q4,1.073,T1,<25,Compact,Minor,A,4555,1.046,1,1
201153,2023Q4,1.218,T2,40-64,Midsize,Major,A,15841,2.07,3,0
201154,2024Q1,0.523,T1,<25,Midsize,None,D,10892,2.569,0,2
201155,2023Q3,1.281,T2,40-64,Pickup,None,A,10400,4.861,0,0
201156,2023Q4,0.729,T4,65+,SUV,None,B,11284,1.525,0,0
201157,2023Q3,0.654,T4,40-64,SUV,Minor,D,12666,4.206,1,0
201158,2023Q1,1.164,T2,65+,Midsize,None,B,10216,4.477,0,0
201159,2023Q2,1.403,T2,25-39,Midsize,None,C,15963,1.344,0,0
201160,2024Q1,1.05,T5,65+,Pickup,None,D,12430,4.508,0,0
201161,2023Q4,0.734,T1,40-64,Compact,None,D,11660,3.047,0,0
201162,2023Q3,1.239,T4,65+,Midsize,None,D,2273,3.05,0,0
201163,2024Q1,1.399,T1,40-64,SUV,None,C,14486,1.691,0,0
201164,2023Q1,1.235,T4,<25,SUV,None,A,5954,2.487,0,0
201165,2023Q1,1.308,T5,40-64,Compact,None,C,6732,2.001,0,0
201166,2023Q4,1.435,T2,65+,Compact,None,B,10150,1.129,0,0
201167,2024Q1,1.025,T3,40-64,Midsize,None,C,10704,4.156,0,0
201168,2024Q1,1.403,T2,40-64,Midsize,None,B,12089,0.925,0,2
201169,2024Q1,1.303,T3,40-64,Midsize,None,A,7181,3.199,0,0
201170,2023Q1,0.85,T2,65+,Pickup,None,A,12594,4.872,0,0
201171,2023Q1,0.827,T2,65+,Pickup,Minor,C,8393,2.774,1,1
201172,2023Q2,0.708,T4,25-39,Compact,None,C,13827,3.222,0,0
201173,2023Q1,1.166,T1,65+,Midsize,None,C,9154,2.703,0,0
201174,2023Q1,1.385,T2,65+,Compact,Minor,B,12744,3.896,1,1
201175,2023Q2,0.584,T2,40-64,SUV,None,D,9774,1.405,0,0
201176,2024Q1,1.079,T1,<25,Compact,Major,D,11503,3.679,3,0
201177,2023Q1,1.199,T2,65+,Midsize,None,A,10645,0.578,0,0
201178,2023Q2,1.315,T5,40-64,SUV,None,A,11412,3.509,0,0
201179,2024Q1,1.057,T2,25-39,Midsize,None,D,9943,3.463,0,0
201180,2023Q3,1.16,T5,25-39,SUV,None,D,6600,0.394,0,0
201181,2023Q2,1.023,T5,65+,Pickup,None,C,6305,4.922,0,1
201182,2023Q2,0.692,T2,<25,Compact,Minor,B,13433,0.421,1,0
201183,2024Q1,0.568,T3,65+,Pickup,None,D,13123,3.401,0,0
201184,2023Q4,0.756,T4,40-64,Compact,Major,D,7515,4.973,3,0
201185,2023Q3,1.314,T4,40-64,Pickup,None,C,15805,1.703,0,2
201186,2023Q1,0.621,T4,65+,SUV,Minor,A,8381,3.791,1,0
201187,2023Q4,0.572,T1,65+,Midsize,None,D,7834,2.971,0,0
201188,2024Q1,0.722,T4,25-39,Pickup,None,C,9106,2.376,0,0
201189,2024Q1,0.79,T3,40-64,SUV,None,B,10733,3.33,0,1
201190,2024Q1,0.902,T2,25-39,Midsize,Major,C,11551,1.438,3,0
201191,2023Q4,1.333,T4,65+,Midsize,Minor,D,6643,3.883,1,0
201192,2024Q1,1.124,T1,<25,Compact,None,B,10348,4.798,0,0
201193,2023Q3,1.25,T5,40-64,Pickup,None,A,11734,2.662,0,3
201194,2023Q4,1.391,T2,25-39,SUV,None,B,11903,1.345,0,0
201195,2023Q3,1.267,T4,65+,SUV,Major,A,14381,1.178,3,0
201196,2023Q3,0.762,T5,25-39,Midsize,Minor,A,9496,4.32,1,1
201197,2024Q1,1.048,T3,<25,Compact,None,B,12150,0.488,0,0
201198,2023Q3,0.953,T5,<25,Midsize,None,B,14593,3.69,0,0
201199,2023Q4,1.322,T4,<25,Compact,Major,B,12357,4.514,3,0
201200,2024Q1,0.75,T4,25-39,Compact,Minor,A,7763,4.049,1,1
201201,2023Q1,1.109,T2,<25,Compact,None,A,11595,3.446,0,0
201202,2023Q2,0.539,T1,65+,Pickup,None,B,11056,4.11,0,0
201203,2023Q1,0.824,T5,40-64,Compact,None,B,12255,4.454,0,1
201204,2023Q4,0.97,T2,40-64,Compact,None,C,8942,3.412,0,0
201205,2024Q1,0.707,T5,<25,SUV,Minor,C,14502,1.45,1,0
201206,2023Q4,1.172,T1,25-39,SUV,None,D,9944,4.374,0,0
201207,2024Q1,0.868,T1,40-64,SUV,None,C,9138,3.113,0,0
201208,2023Q2,0.688,T3,65+,Compact,None,B,8483,2.678,0,2
201209,2023Q3,1.369,T4,40-64,SUV,Minor,C,5533,2.137,1,0
201210,2023Q3,0.701,T2,25-39,SUV,None,A,4339,2.626,0,0
201211,2023Q3,1.076,T3,40-64,SUV,Major,B,10378,2.724,3,0
201212,2023Q2,0.986,T4,40-64,Midsize,None,A,11493,2.747,0,0
201213,2023Q4,0.944,T4,25-39,Compact,Major,B,7890,1.629,3,1
201214,2023Q1,0.737,T3,65+,Pickup,Major,B,12315,4.987,3,1
201215,2023Q1,1.32,T1,<25,Compact,None,B,12776,1.385,0,0
201216,2023Q1,1.143,T4,65+,Pickup,None,B,7766,3.694,0,0
201217,2023Q2,1.304,T4,65+,Pickup,Major,C,11727,0.752,3,0
201218,2023Q4,1.226,T5,25-39,Pickup,None,B,13555,1.795,0,0
201219,2023Q4,1.264,T2,65+,Midsize,None,B,16635,1.345,0,0
201220,2023Q4,0.692,T3,40-64,Pickup,None,B,13594,3.705,0,0
201221,2023Q1,1.109,T1,65+,SUV,Major,B,13425,3.212,3,0
201222,2023Q1,1.288,T1,40-64,Midsize,None,A,7353,1.141,0,0
201223,2023Q1,0.997,T2,25-39,Midsize,None,D,11675,0.655,0,0
201224,2023Q1,1.119,T1,25-39,Pickup,Major,A,11374,4.394,3,1
201225,2023Q2,0.772,T1,<25,Pickup,None,B,5069,4.095,0,0
201226,2023Q1,0.956,T2,25-39,SUV,None,D,12752,1.949,0,0
201227,2023Q4,1.339,T3,<25,Compact,None,D,7186,3.351,0,1
201228,2023Q4,0.71,T1,<25,SUV,None,A,8041,1.115,0,0
201229,2023Q4,1.211,T2,65+,SUV,Minor,D,15752,0.491,1,0
201230,2024Q1,1.136,T3,25-39,SUV,Minor,C,13004,1.053,1,0
201231,2023Q4,0.575,T1,40-64,Midsize,None,C,11267,1.285,0,0
201232,2023Q2,1.164,T1,25-39,Midsize,Minor,D,14594,4.578,1,0
201233,2023Q2,0.956,T5,65+,SUV,None,D,15202,3.357,0,0
201234,2023Q1,0.682,T4,40-64,Pickup,None,A,9298,3.366,0,1
201235,2023Q4,0.927,T5,40-64,Midsize,None,D,11525,2.534,0,1
201236,2023Q4,0.627,T1,65+,Midsize,Minor,D,9629,3.546,1,1
201237,2023Q4,1.448,T4,<25,Compact,Major,C,11670,0.438,3,0
201238,2023Q2,1.475,T2,25-39,Compact,Minor,C,10461,3.245,1,3
201239,2023Q2,0.926,T3,65+,Pickup,None,B,9831,1.678,0,0
201240,2023Q4,0.71,T4,<25,Pickup,None,B,14873,3.29,0,0
201241,2023Q1,1.297,T4,65+,Midsize,None,A,6232,1.347,0,0
201242,2023Q1,0.816,T5,<25,Midsize,None,C,14181,4.409,0,1
201243,2023Q2,0.857,T1,40-64,Midsize,None,D,11138,3.502,0,1
201244,2024Q1,0.9,T3,40-64,SUV,None,C,5692,1.811,0,1
201245,2023Q4,1.216,T5,65+,Compact,None,B,10624,2.217,0,1
201246,2023Q2,1.112,T3,65+,SUV,None,B,11050,4.245,0,0
201247,2023Q4,1.491,T3,25-39,Compact,None,B,13541,1.731,0,0
201248,2023Q2,1.34,T3,<25,Pickup,Major,B,14883,1.44,3,0
201249,2023Q2,1.475,T4,65+,Midsize,None,D,12267,4.864,0,0
201250,2023Q3,1.273,T4,40-64,SUV,None,D,9879,1.627,0,0
201251,2024Q1,0.923,T4,65+,Pickup,None,C,12098,4.859,0,1
201252,2023Q2,1.421,T1,40-64,SUV,None,D,9905,4.134,0,0
201253,2023Q3,0.902,T2,<25,SUV,Minor,C,9266,4.802,1,0
201254,2023Q2,0.6,T4,<25,SUV,None,D,8910,4.626,0,0
201255,2023Q3,0.721,T5,65+,Compact,Minor,D,11472,0.373,1,0
201256,2023Q3,1.479,T3,25-39,Midsize,Major,C,13551,0.438,3,1
201257,2024Q1,0.681,T5,40-64,Compact,None,B,8694,3.716,0,0
201258,2023Q4,0.895,T2,25-39,Compact,Major,A,6522,2.282,3,0
201259,2023Q4,1.33,T4,65+,Compact,Minor,A,11811,4.08,1,1
201260,2023Q3,1.003,T5,25-39,Compact,None,D,11542,4.5,0,0
201261,2023Q2,1.154,T1,40-64,Pickup,None,C,9616,2.622,0,0
201262,2024Q1,1.373,T2,25-39,SUV,None,D,9849,2.721,0,0
201263,2024Q1,0.608,T1,25-39,Midsize,None,D,9643,4.725,0,0
201264,2024Q1,0.977,T3,65+,SUV,None,D,10030,4.392,0,0
201265,2023Q2,0.823,T3,65+,Compact,None,B,17772,1.651,0,0
201266,2023Q4,1.134,T5,<25,Compact,None,D,10305,1.891,0,1
201267,2024Q1,0.995,T2,40-64,SUV,Major,C,8420,4.662,3,0
201268,2023Q4,0.842,T2,40-64,Pickup,None,D,12324,3.837,0,0
201269,2023Q4,0.702,T3,40-64,SUV,None,A,10231,3.329,0,0
201270,2023Q2,0.645,T4,<25,SUV,None,C,9979,2.539,0,0
201271,2023Q1,1.243,T1,25-39,SUV,Minor,C,8697,0.757,1,0
201272,2023Q4,1.327,T3,25-39,Midsize,None,D,11424,1.15,0,0
201273,2024Q1,1.284,T4,25-39,SUV,None,A,16665,3.747,0,0
201274,2023Q2,1.173,T3,65+,Compact,Major,C,10459,3.732,3,0
201275,2023Q2,1.126,T3,65+,Pickup,Minor,C,7364,4.047,1,0
201276,2023Q2,0.909,T5,65+,Midsize,None,A,8034,1.916,0,1
201277,2024Q1,1.139,T5,65+,Midsize,None,D,5382,0.577,0,2
201278,2023Q3,0.617,T5,40-64,SUV,Minor,C,6865,4.965,1,0
201279,2023Q2,1.07,T1,<25,Midsize,Major,D,14524,3.667,3,0
201280,2023Q4,1.081,T2,65+,Midsize,None,C,7269,4.389,0,0
201281,2023Q2,0.995,T4,<25,Compact,None,A,9154,3.999,0,0
201282,2023Q3,1.303,T5,<25,Compact,None,B,9515,2.426,0,1
201283,2023Q4,0.869,T1,65+,Compact,None,C,9180,3.629,0,0
201284,2023Q4,0.822,T1,65+,Compact,None,A,8873,2.72,0,0
201285,2023Q4,0.606,T1,40-64,Compact,None,D,13574,2.821,0,0
201286,2023Q2,0.818,T2,40-64,Midsize,None,D,7328,4.762,0,1
201287,2023Q2,0.865,T3,<25,Midsize,None,A,13234,4.272,0,1
201288,2023Q4,0.588,T4,<25,Pickup,None,C,7255,4.754,0,0
201289,2023Q3,1.238,T5,65+,Compact,Minor,B,11286,3.688,1,0
201290,2023Q1,0.534,T4,65+,Midsize,None,B,12849,2.977,0,0
201291,2023Q4,1.407,T2,40-64,Midsize,Minor,B,7625,4.113,1,1
201292,2023Q3,0.603,T3,<25,Compact,Minor,B,4755,4.424,1,0
201293,2023Q3,0.735,T1,40-64,Midsize,Major,D,9036,1.119,3,0
201294,2023Q3,0.671,T3,40-64,SUV,None,C,13005,3.864,0,0
201295,2023Q4,1.138,T5,40-64,Compact,Major,B,6858,1.46,3,0
201296,2023Q4,1.49,T5,<25,SUV,None,D,4860,1.972,0,0
201297,2023Q1,1.334,T2,40-64,Midsize,Minor,D,12970,3.147,1,0
201298,2023Q3,0.568,T1,<25,Midsize,None,C,15929,1.122,0,2
201299,2023Q2,0.611,T2,25-39,Compact,Minor,B,9134,3.786,1,0
201300,2024Q1,1.036,T3,<25,Compact,None,A,13578,3.151,0,0
201301,2024Q1,1.28,T2,65+,SUV,Minor,B,7050,3.287,1,0
201302,2023Q3,1.212,T4,65+,Compact,None,C,14167,1.89,0,0
201303,2024Q1,1.01,T4,65+,Compact,None,A,9128,4.368,0,0
201304,2024Q1,0.526,T2,40-64,Compact,None,A,5511,0.307,0,0
201305,2023Q4,1.486,T2,65+,Pickup,None,D,6855,2.677,0,1
201306,2023Q4,1.261,T3,40-64,Midsize,None,B,7949,3.388,0,0
201307,2023Q1,1.112,T2,65+,SUV,Major,D,7180,2.525,3,0
201308,2023Q3,1.212,T2,25-39,Pickup,Minor,A,14246,3.787,1,0
201309,2024Q1,1.096,T3,25-39,Pickup,None,B,9536,2.016,0,0
201310,2023Q4,1.202,T4,25-39,Compact,Minor,A,8609,1.87,1,0
201311,2024Q1,0.83,T2,40-64,SUV,None,D,14069,1.828,0,0
201312,2024Q1,1.31,T1,25-39,SUV,Major,B,11600,2.539,3,0
201313,2023Q2,0.568,T3,40-64,SUV,Minor,D,10829,0.449,1,0
201314,2023Q3,0.983,T4,40-64,SUV,None,B,5771,4.863,0,1
201315,2023Q4,1.458,T2,65+,SUV,None,A,9385,0.552,0,0
201316,2023Q4,1.071,T5,<25,Pickup,Minor,D,11795,0.829,1,1
201317,2023Q2,0.722,T2,25-39,Compact,None,A,13993,1.39,0,1
201318,2023Q4,1.044,T4,65+,Compact,None,B,10425,4.514,0,0
201319,2023Q2,0.749,T1,<25,Midsize,Minor,D,14134,2.652,1,0
201320,2023Q3,0.832,T4,25-39,SUV,None,D,16860,4.563,0,0
201321,2023Q1,0.5,T1,25-39,SUV,None,C,10671,1.263,0,1
201322,2024Q1,1.386,T5,<25,Compact,None,C,15103,1.279,0,1
201323,2023Q1,0.633,T2,<25,Compact,None,D,12398,2.491,0,2
201324,2023Q2,1.292,T3,25-39,Midsize,None,D,9189,3.788,0,0
201325,2024Q1,1.249,T1,<25,SUV,Major,B,9279,3.981,3,0
201326,2024Q1,0.519,T2,40-64,Compact,None,B,7187,1.644,0,0
201327,2023Q3,0.518,T3,<25,SUV,None,D,11513,1.147,0,0
201328,2024Q1,0.843,T3,<25,Midsize,None,D,12931,4.185,0,1
201329,2024Q1,0.834,T5,40-64,SUV,None,C,8554,1.846,0,0
201330,2023Q2,1.022,T3,65+,Midsize,None,A,9915,4.219,0,1
201331,2023Q2,0.617,T1,<25,Compact,Major,A,13734,4.332,3,0
201332,2023Q2,1.037,T3,40-64,Midsize,None,D,9620,2.098,0,0
201333,2024Q1,1.279,T2,25-39,Midsize,None,D,4633,4.227,0,0
201334,2023Q3,1.258,T4,65+,Pickup,None,D,9929,3.568,0,0
201335,2023Q2,1.319,T1,<25,Midsize,None,C,12636,3.994,0,0
201336,2024Q1,1.188,T4,25-39,SUV,None,C,11016,3.638,0,1
201337,2023Q2,0.786,T2,65+,SUV,Major,A,9925,2.092,3,0
201338,2023Q3,1.334,T4,40-64,SUV,Minor,D,11290,0.792,1,1
201339,2024Q1,1.116,T2,65+,Pickup,None,C,7405,2.532,0,0
201340,2023Q2,0.766,T5,40-64,SUV,None,B,6190,2.649,0,0
201341,2023Q3,0.868,T1,25-39,Midsize,Minor,C,8491,0.601,1,0
201342,2023Q2,1.019,T3,65+,SUV,Minor,A,11249,3.28,1,0
201343,2023Q1,0.529,T4,25-39,SUV,None,C,10403,1.704,0,0
201344,2024Q1,1.373,T2,40-64,Midsize,None,C,9423,4.462,0,0
201345,2023Q4,0.905,T1,65+,Compact,Major,B,15450,4.409,3,1
201346,2024Q1,0.874,T1,65+,Pickup,None,D,10544,2.021,0,0
201347,2023Q1,0.695,T3,40-64,Pickup,None,C,11321,2.104,0,0
201348,2023Q4,0.983,T4,25-39,Pickup,Major,C,11235,0.301,3,0
201349,2023Q4,0.741,T1,<25,Pickup,Minor,B,6863,4.041,1,0
201350,2023Q2,1.332,T4,65+,Pickup,None,A,10890,2.155,0,0
201351,2023Q4,1.497,T2,25-39,Midsize,None,B,14609,4.198,0,0
201352,2024Q1,0.852,T4,65+,Pickup,None,B,8346,3.329,0,1
201353,2023Q3,0.653,T5,65+,Pickup,None,C,13768,3.547,0,0
201354,2023Q1,0.556,T2,40-64,SUV,None,D,11231,3.543,0,0
201355,2023Q2,1.07,T2,40-64,Compact,Minor,B,10099,2.323,1,1
201356,2023Q3,1.253,T1,65+,Compact,None,D,15128,1.079,0,1
201357,2023Q4,1.403,T5,<25,Midsize,None,D,10601,2.418,0,1
201358,2023Q2,0.561,T4,40-64,Compact,Major,D,13888,1.277,3,0
201359,2023Q2,1.455,T5,<25,Midsize,None,D,3419,2.507,0,0
201360,2023Q1,0.859,T5,<25,Compact,None,D,7191,1.257,0,0
201361,2023Q1,0.562,T3,40-64,Midsize,None,A,10268,2.945,0,0
201362,2023Q2,0.605,T1,25-39,Midsize,None,B,11207,2.019,0,0
201363,2023Q2,1.2,T3,25-39,SUV,None,D,15512,0.462,0,0
201364,2023Q4,0.871,T4,25-39,Midsize,Major,D,12792,2.451,3,0
201365,2023Q4,1.085,T5,65+,Compact,None,C,12679,3.755,0,0
201366,2024Q1,1.364,T4,65+,Compact,None,B,9796,3.716,0,0
201367,2023Q2,0.931,T1,<25,Compact,Major,A,7583,3.803,3,0
201368,2023Q4,1.092,T5,<25,Pickup,None,D,11256,4.179,0,0
201369,2023Q1,1.366,T2,65+,Compact,Minor,B,15671,2.532,1,0
201370,2024Q1,1.487,T3,25-39,Midsize,None,D,8596,4.681,0,0
201371,2023Q3,1.245,T2,<25,Compact,None,C,11517,0.635,0,0
201372,2024Q1,1.165,T3,25-39,SUV,Minor,B,10488,0.319,1,0
201373,2023Q1,0.86,T3,65+,Compact,None,C,3508,3.917,0,0
201374,2023Q2,1.446,T4,65+,Pickup,None,B,14988,4.207,0,1
201375,2023Q3,1.06,T5,<25,Compact,Minor,A,12710,4.086,1,0
201376,2024Q1,0.886,T5,65+,Compact,None,A,16829,0.559,0,0
201377,2023Q4,0.921,T5,<25,SUV,None,C,13975,4.594,0,0
201378,2023Q2,0.529,T5,40-64,Pickup,Minor,D,18726,1.85,1,1
201379,2023Q2,1.217,T3,25-39,Compact,None,C,15846,3.939,0,0
201380,2024Q1,1.217,T5,65+,Pickup,None,B,13727,4.999,0,0
201381,2023Q3,0.818,T5,25-39,Pickup,None,C,12516,2.92,0,1
201382,2023Q3,0.787,T5,65+,SUV,None,A,13150,3.435,0,0
201383,2023Q4,1.273,T4,25-39,Midsize,None,D,10757,1.369,0,1
201384,2023Q1,0.719,T3,65+,Pickup,None,B,12096,0.369,0,0
201385,2023Q1,1.148,T3,25-39,Midsize,None,A,5728,2.429,0,0
201386,2023Q4,1.318,T5,65+,Compact,None,D,14768,4.188,0,0
201387,2023Q3,0.853,T2,65+,Midsize,None,D,14927,2.061,0,0
201388,2023Q4,0.55,T5,40-64,Midsize,Major,B,11554,4.467,3,1
201389,2024Q1,0.858,T1,65+,Compact,Minor,A,10393,4.494,1,0
201390,2023Q2,1.175,T2,65+,Midsize,None,C,6327,1.202,0,0
201391,2024Q1,0.942,T4,25-39,Compact,None,A,13958,3.32,0,0
201392,2024Q1,1.424,T4,25-39,Midsize,Minor,D,13007,2.096,1,0
201393,2023Q3,1.024,T1,<25,Pickup,None,D,15031,3.015,0,1
201394,2023Q2,1.47,T1,40-64,Midsize,None,D,13589,3.878,0,0
201395,2023Q1,1.163,T4,<25,Midsize,None,D,10142,1.654,0,0
201396,2023Q3,1.318,T4,<25,Compact,None,D,7052,0.834,0,1
201397,2023Q3,1.138,T3,65+,Midsize,None,A,11766,2.866,0,0
201398,2024Q1,1.004,T4,<25,Midsize,None,D,14413,2.311,0,1
201399,2023Q2,1.07,T5,<25,Compact,None,C,7368,4.517,0,0
201400,2024Q1,1.324,T4,<25,Compact,None,D,13412,0.764,0,0
201401,2024Q1,1.064,T3,<25,SUV,None,D,11057,3.102,0,0
201402,2023Q2,1.424,T1,65+,SUV,Major,B,8872,0.507,3,0
201403,2023Q3,0.804,T5,40-64,Pickup,None,B,11833,1.828,0,0
201404,2023Q1,0.921,T3,25-39,Pickup,None,C,15394,2.316,0,1
201405,2023Q3,0.966,T1,25-39,SUV,None,B,8070,2.286,0,0
201406,2023Q3,1.161,T3,65+,Midsize,None,B,5304,0.804,0,1
201407,2023Q3,1.279,T1,<25,Pickup,None,D,12291,4.321,0,0
201408,2023Q2,1.13,T4,25-39,Pickup,Minor,D,11322,4.204,1,1
